customer_id,full_name,phone_number,email,encrypted_password,is_confirmed,birth_date,address,create_at
"1","العطار براءة","+14757245530","harth_alshryf73@hotmail.com","$2b$10$CjnurnuDGqc3KSwHaFEX3ORzGRJUKs07pAsqFNbe./RMbEawlAjcO","true","1991-06-24T21:18:41.119Z","كندا, سكيكدة, أبو الظلوف, سبيل نزيه : 41","2025-05-21T05:37:19.504Z"
"2","سيدة بتول الرصاع","+17437295878","a190nys29@yahoo.com","$2b$10$J5Vm/9e3oP36L/ym.oglSunl7eu8aAVyG4O03u/UnqStGnVgfh5PO","false","1972-11-27T18:08:04.764Z","سان بيير وميكلون, حلب, ذي قار, طريق مسدود زقية : 83","2025-05-20T21:19:57.404Z"
"3","براءة الصغير","+12269523163","alqasm.zrwq50@yahoo.com","$2b$10$TZZW8I4m4Y4wPUF5EQY7Qear2aquFyuOK0Q6haEHA2czQggJxKw.m","true","1973-03-20T18:16:12.542Z","ترينيداد وتوباغو, منوبة, بصرى, جادة ياسر : 15","2025-05-20T13:12:12.625Z"
"4","الخليفي رزق","+17326465167","thabt.alsqat@hotmail.com","$2b$10$IxNmp0V7MXdZ.wNg.cEbuuq3/Ty0tvfWxZI5SY0jyifxNYs91B8di","false","1976-12-13T13:37:04.433Z","جورجيا, تيارت, الأنبار, ساحة صداح : 66","2025-05-21T02:05:07.160Z"
"5","سيد علوي الخليفي","+19032906818","rtyb.hmdan@hotmail.com","$2b$10$gECBxKZHi6K7DapONlKgl.msPkHFa0s49jUc9NMcohax60SWG5ORe","true","1972-04-15T14:00:58.185Z","لتفيا, قالمة, غرناطة, سبيل جاسر : 82","2025-05-20T23:14:33.296Z"
"6","ذاكر الصفار","+19683264825","a191slam42@hotmail.com","$2b$10$9m.OnDI97GVdbxMfKwlxhealEIzwr9PBZbYXpEvFDm70Hqv7JG/C6","true","1994-11-21T14:42:46.519Z","أندورا, البصرة, الشحر, جادة جليل : 48","2025-05-21T03:52:21.981Z"
"7","ريم الطريقي","+15584918868","a191slam.bnebdalslam46@gmail.com","$2b$10$PIDQvyiS2lBMAA8PBUvsPekXDqQTY5u3YyAUhRarAZMxpDhaZh2FC","true","2003-03-16T16:48:37.215Z","إيران, السويداء, عدن, مَمَر مؤمن : 78","2025-05-20T12:07:00.512Z"
"8","اروي الدرقاش","+12904484801","sbry.alelaymy@yahoo.com","$2b$10$fxrjfRRYg9BoQIXHLzwem.Q.P3kx4SwiyYe0vG9UQOJ9M119rcehi","false","2005-11-19T06:57:10.799Z","كندا, سكيكدة, أبو الظلوف, سبيل نزيه : 41","2025-05-20T18:21:59.601Z"
"9","شكيب زقية","+12019980176","hsham60@gmail.com","$2b$10$6SvOUhthr33kl4vZ12U/SeUd.sSokamHTdSPr9zFs1J7u6CjH9n4i","false","1974-06-23T08:42:07.231Z","البوسنة والهرسك, عكا, الدار البيضاء, ساحة الزوابي : 26","2025-05-21T07:21:54.222Z"
"10","السقا ماجد","+13952833239","mbrwk75@yahoo.com","$2b$10$Tz/JMe0dhNitOVAtR7BxaOvcrWnySpjWXeZWM/Dz1WOJmdSU9Dvti","false","1965-12-28T18:31:22.287Z","جامايكا, الناصرة, صنعاء, شارع النخلي : 19","2025-05-21T00:20:09.018Z"
"11","النابلي محرز","+15042475245","qys47@yahoo.com","$2b$10$vqtZWdp9k8.H7xQzw1z4I.CsWip1JROZ7IsrF7Qeh9gW9Fb.epcGm","true","1994-08-30T22:40:13.399Z","ملاوي, البويرة, بغداد, ساحة عمار : 92","2025-05-20T11:55:09.089Z"
"12","شقرون ممتاز","+14378521971","wsam.altryqy29@gmail.com","$2b$10$CXRzUIIN0790PVgfiWG.NeDZ/J1rlTlfC9fWC6fCChujIFz0gcQ3a","true","2004-11-05T12:42:12.723Z","بلجيكا, المدية, مقديشو, درب، طريق ضياء : 72","2025-05-20T19:39:09.971Z"
"13","بن عثمان بلال","+19043537254","mrtda_alshryf75@hotmail.com","$2b$10$iMKUTt/PB8OlUMcv.tVjPO/Mn/Xq.H.iuykbAyuS00MhJUXVGJvH2","false","2001-02-04T23:27:49.595Z","هونكونغ, عنابة, سامراء, شارع رياض : 71","2025-05-20T11:18:19.861Z"
"14","براءة سعيد","+15187122347","tyb.altwyl60@yahoo.com","$2b$10$UdDmo34pWcXeDjtf.jvjze7QXYoY3BHKjFHelUCS.Mvx6xQKtl0Wm","false","1993-07-24T17:42:34.444Z","كيريباتي, عجلون, الأنبار, درب، طريق ادريس : 93","2025-05-21T08:10:12.775Z"
"15","نوف عنون","+17817181138","fakhr.alqlshany58@gmail.com","$2b$10$eJsmSm2mR5apsCrSJjkWWOxfintgG9MzCm9npeF2I455hTBMAoL3e","false","1996-05-30T03:51:14.882Z","أنتيغوا وباربودا, قفصة, تدمر, رصيف رياض : 33","2025-05-20T11:48:01.605Z"
"16","جميل النفير","+14786416826","hsny_ghwylt@gmail.com","$2b$10$RPEfzlCjT9mEiEO7CMn3Oe6Yeu4we9NokQjVnFqgPy6W656jiBAwe","true","1967-07-31T19:33:25.819Z","روسيا, الجلفة, الجزائر, درب، طريق رشاد : 20","2025-05-20T19:15:37.547Z"
"17","اروي القلال","+17515238757","fadl.bnebdallh@gmail.com","$2b$10$C6Qsr.x9nqckP7SRsu2Uaucd5HTCbkawi/MEjAOg4DqDIt7.HalZq","true","2003-03-05T17:38:27.870Z","زمبابوي, أم البواقي, العين, جادة بن عمر : 29","2025-05-21T01:05:43.114Z"
"18","زروق نوف","+12786324691","bsym_yafe@hotmail.com","$2b$10$K6o/JTG4sn2oRd94MkYyRuqQr07hVM9/aapNdxVKJrPS5dL/R6rdy","false","1986-12-02T04:19:35.020Z","أنتيغوا وباربودا, قفصة, تدمر, رصيف رياض : 33","2025-05-21T02:55:11.479Z"
"19","بروفيسور نوف الحمامي","+17328955719","basm57@gmail.com","$2b$10$bWKuBXgOYjuDDQXIOkHv/OtOW0ojkbKebygT372AHQa3taUmZb.0a","false","1972-11-10T03:54:48.166Z","المغرب, درعا, طرابلس, رصيف عاشور : 21","2025-05-20T15:02:22.973Z"
"20","بروفيسور فاطمه السقا","+17642661132","a190mjd42@yahoo.com","$2b$10$6cNm6cHClsL0IwqfO3zhVuLZfy5XcVO55RL9yuLpwk65PjZZme1uK","true","1969-01-12T22:25:28.959Z","لبنان, بيروت, بيت حانون, شارع فكري : 36","2025-05-20T22:51:27.352Z"
