driver_id,full_name,phone_number,email,is_activated,vehicle_type,address,bank_name,iban,user_name,encrypted_password
"1","شقرون بدران","function () { [native code] }","jswr55@yahoo.com","false","car","43579 رصيف بن عاشور","الكراي LLC","LT698505506200238631","Vena_Kshlerin","$2b$10$r.1CIwyHtcfDZnfnT7/RmOcAA82jB4sXf52Qwtbyaacth6ZH4PbYy"
"2","الحجيج عنود","function () { [native code] }","mbrwk17@hotmail.com","true","bicycle","1633 جادة الخليفي","خنفير and Sons","PT66001203340029597900582","Simone17","$2b$10$rdousr.eMIK4vFoG9FZc6.DWt4UlbWx6NcvtI/a1sVQNShFL2D5gS"
"3","البشيري نور الدين","function () { [native code] }","bsam65@hotmail.com","false","bicycle","981 طريق مسدود جلال","غويلة Inc","ME81001001302900060651","Kraig.Champlin","$2b$10$Zf/Ryb3umgKsti4yoKL5FuWIX0wHsuQz8ODFDhAmZR6y2V4zXIpca"
"4","الطويل فائز","function () { [native code] }","rmzy_alhmamy71@gmail.com","true","bicycle","961 مَمَر نيفر","الصفار - زقية","FO6120330580151032","Lupe_Aufderhar24","$2b$10$8Iuu.46YXUPLvc8yIWsvmu5eYVRgOGsWTQ2rx8bM00JkJxOLkXMz."
"5","فوزي فقوسة","function () { [native code] }","bdr.alelany72@yahoo.com","true","car","93237 طريق مسدود عطالله","جراد, الحجيج and هذيل","BA080040375051608627","Jordan71","$2b$10$r7JNJgT1pNt9up70saVJPe64OhvoEd30qG7IaNRFx1G0L.NwuCmgu"
"6","قيس جابالله","function () { [native code] }","fars36@yahoo.com","true","bicycle","5495 جادة غسان","المولدي, الدرقاش and سويس","IT69L3090600672I1W88B1898C4","Karlee47","$2b$10$J0PXmcGhfubtZxbGx0kSMu5WVmctGAIQnTWhUBkUvlWbwLGFcIi0C"
"7","سيد لطفي الدرقاش","function () { [native code] }","fhmy12@hotmail.com","true","electric_bike","26259 جادة زياد","الع لويني - المنيف","MU38BJKK0686700356221030843HJM","Macie33","$2b$10$rSfQODsJ3rXbGnriiNFIUeDLf7P0rwUMAqhAYd9i0yN.41iREyfUe"
"8","خلود المولدي","function () { [native code] }","rasm_adrys58@gmail.com","true","car","58262 درب، طريق الكراي","الحمامي and Sons","GL0230020900104121","Shanie.Weber91","$2b$10$mV29RmEf7zm0pASho2eWjOuwuk94fC5Jip6L6Y.NXV8iP38mpdHTi"
"9","رامي جراد","function () { [native code] }","fakhr_twmy@yahoo.com","false","motorcycle","1251 سبيل جاوحدو","زقية - الشيباني","TR352005154239203859609033","Leopold51","$2b$10$lYFRIUQhfA3hLIKfYk4N9.mBgBOKZYHV01ZioY9kHNdQ4GartgYKy"
"10","كاظم القلشاني","function () { [native code] }","fysl21@yahoo.com","true","bicycle","68729 طريق مسدود صادق","السقاط - جابالله","CH90050040G5109327471","Ottis.Swift","$2b$10$zQ8tSrjowtv.1c.ZY.RPEu/kvgygD2C0LvqlVuOXGo482JEXXrlNS"
